Animal ID,Name_Intake,DateTime_Intake,MonthYear_Intake,Found Location,Intake Type,Intake Condition,Animal Type_Intake,Sex upon Intake,Age upon Intake,Breed_Intake,Color_Intake,Name_Outcome,DateTime_Outcome,MonthYear_Outcome,Date of Birth,Animal Type_Outcome,Sex upon Outcome,Age upon Outcome,Breed_Outcome,Color_Outcome,binary_outcome
A795499,,05/21/2019 12:15:00 PM,05/21/2019 12:15:00 PM,15103 Oklahoma Street in Austin (TX),Stray,Nursing,Cat,Intact Female,3 weeks,Domestic Shorthair,Blue,,07/20/2019 12:51:00 PM,07/20/2019 12:51:00 PM,04/26/2019,Cat,Spayed Female,2 months,Domestic Shorthair,Blue,0.0
A715125,Bane,10/31/2015 04:38:00 PM,10/31/2015 04:38:00 PM,11906 Broad Leaf Cv in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Labrador Retriever Mix,Tan/White,Bane,11/03/2015 05:33:00 PM,11/03/2015 05:33:00 PM,10/31/2013,Dog,Neutered Male,2 years,Labrador Retriever Mix,Tan/White,0.0
A756245,,08/16/2017 12:45:00 PM,08/16/2017 12:45:00 PM,2201 Montoplois in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby,,08/22/2017 06:03:00 PM,08/22/2017 06:03:00 PM,06/16/2017,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby,0.0
A696230,,01/31/2015 01:04:00 PM,01/31/2015 01:04:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,3 months,Domestic Medium Hair Mix,Black/White,,02/04/2015 04:55:00 PM,02/04/2015 04:55:00 PM,10/16/2014,Cat,Neutered Male,3 months,Domestic Medium Hair Mix,Black/White,0.0
A802476,,08/18/2019 03:26:00 PM,08/18/2019 03:26:00 PM,7330 Bluff Springs Road in Austin (TX),Stray,Normal,Cat,Intact Male,1 year,Domestic Shorthair,Orange Tabby/White,,08/22/2019 11:57:00 AM,08/22/2019 11:57:00 AM,08/18/2018,Cat,Intact Male,1 year,Domestic Shorthair,Orange Tabby/White,0.0
A800526,*John,07/22/2019 03:16:00 PM,07/22/2019 03:16:00 PM,7703 Blue Lilly Drive in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Shorthair,Orange Tabby,*John,07/30/2019 11:02:00 AM,07/30/2019 11:02:00 AM,06/25/2019,Cat,Intact Male,5 weeks,Domestic Shorthair,Orange Tabby,0.0
A577358,Sally,04/21/2015 01:02:00 PM,04/21/2015 01:02:00 PM,3800 S. 2Nd St in Austin (TX),Stray,Normal,Dog,Spayed Female,6 years,German Shepherd/Rottweiler,Black/Tan,Sally,04/21/2015 05:16:00 PM,04/21/2015 05:16:00 PM,06/21/2008,Dog,Spayed Female,6 years,German Shepherd/Rottweiler,Black/Tan,0.0
A706375,Susette,06/28/2015 11:29:00 AM,06/28/2015 11:29:00 AM,Springdale Rd & Touchstone St in Austin (TX),Stray,Normal,Dog,Intact Female,5 months,Blue Lacy Mix,Fawn/White,Susette,07/05/2015 05:33:00 PM,07/05/2015 05:33:00 PM,12/28/2014,Dog,Spayed Female,6 months,Blue Lacy Mix,Fawn/White,0.0
A739871,Charlie,08/03/2017 05:00:00 PM,08/03/2017 05:00:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,1 year,German Shepherd Mix,Black/Brown,Charlie,08/30/2017 02:46:00 PM,08/30/2017 02:46:00 PM,05/08/2016,Dog,Neutered Male,1 year,German Shepherd Mix,Black/Brown,0.0
A675511,*Chris,03/28/2014 02:10:00 PM,03/28/2014 02:10:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,3 years,Domestic Shorthair Mix,Blue/White,*Chris,04/20/2014 03:03:00 PM,04/20/2014 03:03:00 PM,03/28/2011,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Blue/White,0.0
A697336,Patrick,02/21/2015 05:33:00 PM,02/21/2015 05:33:00 PM,Austin (TX),Public Assist,Normal,Dog,Intact Male,2 years,Miniature Pinscher,Black/Brown,Patrick,03/03/2015 11:29:00 AM,03/03/2015 11:29:00 AM,08/21/2012,Dog,Intact Male,2 years,Miniature Pinscher,Black/Brown,0.0
A779613,,09/03/2018 03:41:00 PM,09/03/2018 03:41:00 PM,7008 Lunar Drive in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Tortie,,09/04/2018 03:12:00 PM,09/04/2018 03:12:00 PM,09/03/2017,Cat,Intact Female,1 year,Domestic Shorthair Mix,Tortie,0.0
A655534,Dave,10/13/2018 02:51:00 PM,10/13/2018 02:51:00 PM,821 Sebastian Bend in Pflugerville (TX),Stray,Normal,Cat,Neutered Male,10 years,Domestic Shorthair Mix,Orange Tabby/White,Dave,01/02/2019 12:21:00 PM,01/02/2019 12:21:00 PM,06/02/2008,Cat,Neutered Male,10 years,Domestic Shorthair Mix,Orange Tabby/White,0.0
A676229,Brown,04/06/2014 03:16:00 PM,04/06/2014 03:16:00 PM,8900 N Ih 35 in Austin (TX),Stray,Normal,Dog,Intact Male,3 months,Golden Retriever Mix,Gold,Brown,04/10/2014 06:25:00 PM,04/10/2014 06:25:00 PM,12/22/2013,Dog,Neutered Male,3 months,Golden Retriever Mix,Gold,0.0
A797447,,06/13/2019 02:51:00 PM,06/13/2019 02:51:00 PM,1213 Southport in Austin (TX),Stray,Normal,Cat,Intact Male,3 months,Domestic Medium Hair,Black/White,,06/17/2019 07:57:00 PM,06/17/2019 07:57:00 PM,03/13/2019,Cat,Intact Male,3 months,Domestic Medium Hair,Black/White,0.0
A799145,Solo,07/05/2019 01:45:00 PM,07/05/2019 01:45:00 PM,8039 Bark K Ranch Road in Travis (TX),Stray,Normal,Dog,Intact Male,2 years,Great Pyrenees,White,Solo,07/09/2019 01:15:00 PM,07/09/2019 01:15:00 PM,07/05/2017,Dog,Intact Male,2 years,Great Pyrenees,White,0.0
A737652,Charlie,11/02/2016 10:57:00 AM,11/02/2016 10:57:00 AM,6600 Ed Bluestein Blvd in Austin (TX),Stray,Normal,Dog,Intact Male,10 years,Chow Chow,Red/Black,Charlie,11/10/2016 12:20:00 PM,11/10/2016 12:20:00 PM,11/02/2006,Dog,Intact Male,10 years,Chow Chow,Red/Black,0.0
A782521,Simon,10/16/2018 06:50:00 PM,10/16/2018 06:50:00 PM,1605 Kramer Lane in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Tan,Simon,10/26/2018 02:47:00 PM,10/26/2018 02:47:00 PM,10/16/2017,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Tan,0.0
A711172,*Liza,09/03/2015 07:38:00 AM,09/03/2015 07:38:00 AM,4211 Turnersville in Travis (TX),Stray,Injured,Dog,Intact Female,8 years,Pointer,White/Black,*Liza,09/08/2015 03:50:00 PM,09/08/2015 03:50:00 PM,09/03/2007,Dog,Intact Female,8 years,Pointer,White/Black,0.0
A700648,Luna,04/20/2015 01:59:00 PM,04/20/2015 01:59:00 PM,Austin (TX),Public Assist,Normal,Dog,Spayed Female,4 years,Border Collie Mix,Black,Luna,04/21/2015 03:02:00 PM,04/21/2015 03:02:00 PM,04/20/2011,Dog,Spayed Female,4 years,Border Collie Mix,Black,0.0
A751603,,06/23/2017 01:13:00 PM,06/23/2017 01:13:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Female,1 month,Snowshoe Mix,Lilac Point/White,,06/25/2017 03:50:00 PM,06/25/2017 03:50:00 PM,04/25/2017,Cat,Intact Female,1 month,Snowshoe Mix,Lilac Point/White,0.0
A805983,,10/04/2019 03:47:00 PM,10/04/2019 03:47:00 PM,5605 Springdale Road in Austin (TX),Stray,Normal,Cat,Intact Male,2 years,Domestic Shorthair,Brown Tabby,,10/08/2019 02:48:00 PM,10/08/2019 02:48:00 PM,10/04/2017,Cat,Intact Male,2 years,Domestic Shorthair,Brown Tabby,0.0
A680969,*Zeus,06/10/2014 05:53:00 PM,06/10/2014 05:53:00 PM,4701 Staggerbrush Rd in Austin (TX),Stray,Nursing,Cat,Intact Male,1 week,Domestic Shorthair Mix,White/Orange Tabby,*Zeus,08/05/2014 04:59:00 PM,08/05/2014 04:59:00 PM,06/03/2014,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Orange Tabby,0.0
A726106,Bear,05/06/2016 12:59:00 PM,05/06/2016 12:59:00 PM,Austin (TX),Stray,Normal,Dog,Neutered Male,6 years,Miniature Schnauzer Mix,White,Bear,05/07/2016 12:00:00 AM,05/07/2016 12:00:00 AM,05/06/2010,Dog,Neutered Male,6 years,Miniature Schnauzer Mix,White,0.0
A665426,Silka,10/17/2013 04:53:00 PM,10/17/2013 04:53:00 PM,8224 Research Blvd #244 in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair Mix,Black,Silka,11/16/2013 05:09:00 PM,11/16/2013 05:09:00 PM,08/26/2013,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black,0.0
A795585,*Phoenix,05/22/2019 12:18:00 PM,05/22/2019 12:18:00 PM,805 Live Oak Drive in Cedar Park (TX),Stray,Normal,Cat,Intact Female,8 months,Domestic Shorthair,Tortie,*Phoenix,09/15/2019 07:35:00 PM,09/15/2019 07:35:00 PM,08/22/2018,Cat,Spayed Female,1 year,Domestic Shorthair,Tortie,0.0
A727568,Jasper,05/23/2016 12:37:00 PM,05/23/2016 12:37:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,2 years,Domestic Shorthair Mix,Blue Tabby/White,Jasper,06/15/2016 11:32:00 AM,06/15/2016 11:32:00 AM,05/23/2014,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Blue Tabby/White,0.0
A780725,,09/19/2018 01:36:00 PM,09/19/2018 01:36:00 PM,902 B Sirocco Drive in Austin (TX),Stray,Normal,Cat,Intact Male,2 months,Domestic Shorthair Mix,Blue,,09/27/2018 06:45:00 PM,09/27/2018 06:45:00 PM,07/19/2018,Cat,Intact Male,2 months,Domestic Shorthair Mix,Blue,0.0
A780639,Cookie,09/19/2018 03:33:00 PM,09/19/2018 03:33:00 PM,6405 Circle S Road in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Dachshund/Labrador Retriever,Red/Black,Cookie,09/26/2018 07:34:00 PM,09/26/2018 07:34:00 PM,03/19/2017,Dog,Neutered Male,1 year,Dachshund/Labrador Retriever,Red/Black,0.0
A669534,,12/22/2013 12:28:00 PM,12/22/2013 12:28:00 PM,2324 Wilson St in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,Orange Tabby,,12/24/2013 03:03:00 PM,12/24/2013 03:03:00 PM,12/22/2012,Cat,Intact Female,1 year,Domestic Shorthair Mix,Orange Tabby,0.0
A701706,,05/03/2015 03:37:00 PM,05/03/2015 03:37:00 PM,9515 Old Lockhart Rd in Austin (TX),Stray,Normal,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Orange Tabby,,05/03/2015 05:24:00 PM,05/03/2015 05:24:00 PM,04/18/2015,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Orange Tabby,0.0
A799116,,07/05/2019 12:24:00 PM,07/05/2019 12:24:00 PM,10908 Crown Colony Drive in Austin (TX),Stray,Normal,Cat,Unknown,5 months,Domestic Shorthair,Brown Tabby/White,,07/08/2019 07:44:00 PM,07/08/2019 07:44:00 PM,01/05/2019,Cat,Unknown,6 months,Domestic Shorthair,Brown Tabby/White,0.0
A611929,Bam Bam,02/22/2014 12:21:00 PM,02/22/2014 12:21:00 PM,Austin (TX),Euthanasia Request,Normal,Dog,Intact Male,4 years,Pit Bull Mix,Blue/White,Bam Bam,02/22/2014 05:16:00 PM,02/22/2014 05:16:00 PM,10/13/2009,Dog,Intact Male,4 years,Pit Bull Mix,Blue/White,1.0
A808961,,11/16/2019 06:58:00 PM,11/16/2019 06:58:00 PM,9525 N Capital Of Texas Hwy in Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Bat,Brown,,12/02/2019 10:35:00 AM,12/02/2019 10:35:00 AM,11/16/2018,Other,Unknown,1 year,Bat,Brown,1.0
A788932,Marsha,02/11/2019 05:37:00 PM,02/11/2019 05:37:00 PM,Tillery Street And Oak Springs Drive in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,German Shepherd,Black/Tan,Marsha,02/18/2019 04:51:00 PM,02/18/2019 04:51:00 PM,02/11/2018,Dog,Spayed Female,1 year,German Shepherd,Black/Tan,0.0
A798919,*Pupperoni,07/02/2019 10:04:00 AM,07/02/2019 10:04:00 AM,1190 Airport in Austin (TX),Stray,Normal,Dog,Intact Female,5 years,Chihuahua Shorthair,Tan,*Pupperoni,07/05/2019 03:03:00 PM,07/05/2019 03:03:00 PM,07/02/2014,Dog,Intact Female,5 years,Chihuahua Shorthair,Tan,0.0
A678226,,05/05/2014 06:09:00 PM,05/05/2014 06:09:00 PM,Samsung Blvd & Longday in Austin (TX),Stray,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Brown Tabby/White,,05/06/2014 03:58:00 PM,05/06/2014 03:58:00 PM,04/11/2014,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Brown Tabby/White,0.0
A708892,,08/02/2015 11:30:00 AM,08/02/2015 11:30:00 AM,12600 Quirin Dr in Del Valle (TX),Stray,Normal,Cat,Intact Male,4 months,Domestic Longhair Mix,Orange Tabby/White,,08/03/2015 09:00:00 AM,08/03/2015 09:00:00 AM,04/02/2015,Cat,Intact Male,4 months,Domestic Longhair Mix,Orange Tabby/White,0.0
A790214,,03/06/2019 02:31:00 PM,03/06/2019 02:31:00 PM,4424 S Mopac Expwy in Austin (TX),Public Assist,Normal,Cat,Intact Female,11 years,Domestic Medium Hair Mix,Orange Tabby/White,,03/13/2019 05:46:00 PM,03/13/2019 05:46:00 PM,03/06/2008,Cat,Intact Female,11 years,Domestic Medium Hair Mix,Orange Tabby/White,0.0
A791116,Jasper,03/25/2019 11:53:00 AM,03/25/2019 11:53:00 AM,Pflugerville (TX),Public Assist,Normal,Dog,Intact Male,1 year,Belgian Malinois Mix,Black/Brown,Jasper,03/31/2019 02:50:00 PM,03/31/2019 02:50:00 PM,03/21/2018,Dog,Intact Male,1 year,Belgian Malinois Mix,Black/Brown,0.0
A754208,Vaquita,07/17/2017 01:18:00 PM,07/17/2017 01:18:00 PM,7500 Blessing in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Chihuahua Shorthair Mix,White/Black,Vaquita,07/18/2017 02:10:00 PM,07/18/2017 02:10:00 PM,01/17/2016,Dog,Intact Female,1 year,Chihuahua Shorthair Mix,White/Black,0.0
A709133,*Petra,08/05/2015 01:47:00 PM,08/05/2015 01:47:00 PM,2100 Barton Springs Rd in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Medium Hair Mix,Black,*Petra,09/21/2015 03:53:00 PM,09/21/2015 03:53:00 PM,08/05/2014,Cat,Spayed Female,1 year,Domestic Medium Hair Mix,Black,0.0
A699535,*Crystal,03/29/2015 11:29:00 AM,03/29/2015 11:29:00 AM,Battenburg Trl And Grey Castle Dr in Pflugerville (TX),Stray,Normal,Dog,Spayed Female,1 year,Whippet Mix,Brown Brindle,*Crystal,04/09/2015 06:26:00 PM,04/09/2015 06:26:00 PM,03/29/2014,Dog,Spayed Female,1 year,Whippet Mix,Brown Brindle,0.0
A711413,*Tina,09/06/2015 01:56:00 PM,09/06/2015 01:56:00 PM,1628 Ohlen Rd in Austin (TX),Stray,Normal,Cat,Intact Female,2 months,Domestic Shorthair Mix,Tortie,*Tina,09/30/2015 12:11:00 PM,09/30/2015 12:11:00 PM,06/21/2015,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Tortie,0.0
A809524,*Honey Bee,11/25/2019 06:53:00 PM,11/25/2019 06:53:00 PM,Montopolis Drive And Riverside Drive in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Labrador Retriever Mix,Black/Brown Brindle,*Honey Bee,12/18/2019 11:18:00 AM,12/18/2019 11:18:00 AM,10/18/2019,Dog,Intact Female,1 month,Labrador Retriever Mix,Black/Brown Brindle,0.0
A771684,Pepper,05/08/2018 04:50:00 PM,05/08/2018 04:50:00 PM,1381 Old Lockhart Road in Creedmoor (TX),Stray,Normal,Dog,Intact Female,2 months,German Shepherd Mix,Black/White,Pepper,05/13/2018 06:19:00 PM,05/13/2018 06:19:00 PM,02/18/2018,Dog,Spayed Female,2 months,German Shepherd Mix,Black/White,0.0
A721682,,03/02/2016 11:42:00 AM,03/02/2016 11:42:00 AM,Yager Ln in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Chihuahua Longhair Mix,Tan,,03/06/2016 05:04:00 PM,03/06/2016 05:04:00 PM,09/02/2014,Dog,Spayed Female,1 year,Chihuahua Longhair Mix,Tan,0.0
A793620,Lady,04/27/2019 03:01:00 PM,04/27/2019 03:01:00 PM,Kramer And Lamar in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Pit Bull Mix,Tricolor,Lady,05/03/2019 03:58:00 PM,05/03/2019 03:58:00 PM,04/27/2017,Dog,Spayed Female,2 years,Pit Bull Mix,Tricolor,0.0
A757681,*Franklin,09/05/2017 10:44:00 AM,09/05/2017 10:44:00 AM,1600 Nash Hernandez in Austin (TX),Stray,Normal,Dog,Neutered Male,9 years,Chihuahua Shorthair Mix,Tan,*Franklin,10/31/2017 12:32:00 PM,10/31/2017 12:32:00 PM,09/05/2008,Dog,Neutered Male,9 years,Chihuahua Shorthair Mix,Tan,0.0
A809727,,11/30/2019 12:38:00 PM,11/30/2019 12:38:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,1 month,Pointer,Chocolate/White,,12/04/2019 05:35:00 PM,12/04/2019 05:35:00 PM,09/30/2019,Dog,Neutered Male,2 months,Pointer,Chocolate/White,0.0
A779377,Max,11/11/2019 10:11:00 AM,11/11/2019 10:11:00 AM,Austin (TX),Owner Surrender,Normal,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Brown Tabby,Max,12/01/2019 05:56:00 PM,12/01/2019 05:56:00 PM,07/08/2018,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Brown Tabby,0.0
A699470,Baby Cat,07/11/2015 03:29:00 PM,07/11/2015 03:29:00 PM,Austin (TX),Owner Surrender,Normal,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Black/White,Baby Cat,07/19/2015 11:53:00 AM,07/19/2015 11:53:00 AM,03/27/2013,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Black/White,0.0
A792150,,04/06/2019 06:29:00 PM,04/06/2019 06:29:00 PM,1501 Canon Yeomans Trail in Austin (TX),Stray,Normal,Cat,Intact Male,1 year,Domestic Shorthair Mix,Orange Tabby/White,,04/11/2019 05:32:00 PM,04/11/2019 05:32:00 PM,04/06/2018,Cat,Intact Male,1 year,Domestic Shorthair Mix,Orange Tabby/White,0.0
A660973,Roxie,08/21/2014 11:25:00 AM,08/21/2014 11:25:00 AM,William Canon And Mopac in Austin (TX),Stray,Normal,Dog,Spayed Female,5 years,Pit Bull Mix,Black Brindle/White,Roxie,09/20/2014 06:23:00 PM,09/20/2014 06:23:00 PM,08/14/2009,Dog,Spayed Female,5 years,Pit Bull Mix,Black Brindle/White,0.0
A708765,Rocko,08/22/2015 11:09:00 AM,08/22/2015 11:09:00 AM,6921 Vassar Dr in Austin (TX),Stray,Normal,Dog,Neutered Male,1 year,Blue Lacy,Blue/White,Rocko,08/30/2015 02:50:00 PM,08/30/2015 02:50:00 PM,07/31/2014,Dog,Neutered Male,1 year,Blue Lacy,Blue/White,0.0
A723908,Milo,04/08/2016 04:34:00 PM,04/08/2016 04:34:00 PM,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,3 years,Border Collie Mix,Black/White,Milo,05/19/2016 07:09:00 PM,05/19/2016 07:09:00 PM,04/08/2013,Dog,Neutered Male,3 years,Border Collie Mix,Black/White,0.0
A720048,,02/01/2016 03:38:00 PM,02/01/2016 03:38:00 PM,Austin (TX),Stray,Normal,Dog,Intact Female,2 months,Chihuahua Shorthair Mix,Black,,02/05/2016 02:53:00 PM,02/05/2016 02:53:00 PM,12/01/2015,Dog,Intact Female,2 months,Chihuahua Shorthair Mix,Black,0.0
A668309,,12/01/2013 05:42:00 PM,12/01/2013 05:42:00 PM,5805 N Lamar C in Austin (TX),Wildlife,Sick,Other,Unknown,3 years,Bat,Black/Brown,,12/01/2013 06:46:00 PM,12/01/2013 06:46:00 PM,12/01/2010,Other,Unknown,3 years,Bat,Black/Brown,1.0
A774561,*Soot,06/17/2018 11:50:00 AM,06/17/2018 11:50:00 AM,Mariposa Drive And Travis Heights Boulevard in Austin (TX),Stray,Normal,Dog,Intact Male,5 months,Rat Terrier/Labrador Retriever,Black/White,*Soot,06/25/2018 05:15:00 PM,06/25/2018 05:15:00 PM,01/02/2018,Dog,Intact Male,5 months,Rat Terrier/Labrador Retriever,Black/White,0.0
A744039,Luke,05/29/2017 10:28:00 AM,05/29/2017 10:28:00 AM,215 Ainsworth St in Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,5 months,German Shepherd Mix,Tan/Black,Luke,05/29/2017 05:52:00 PM,05/29/2017 05:52:00 PM,11/30/2016,Dog,Neutered Male,5 months,German Shepherd Mix,Tan/Black,0.0
A680793,Cocco,06/08/2014 08:10:00 AM,06/08/2014 08:10:00 AM,4434 Frontier in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Chihuahua Shorthair Mix,Brown,Cocco,06/17/2014 04:33:00 PM,06/17/2014 04:33:00 PM,06/08/2012,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Brown,0.0
A757722,,09/05/2017 05:38:00 PM,09/05/2017 05:38:00 PM,Outside Jurisdiction,Stray,Normal,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Tortie,,09/05/2017 06:39:00 PM,09/05/2017 06:39:00 PM,08/21/2017,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Tortie,0.0
A769059,,03/29/2018 04:23:00 PM,03/29/2018 04:23:00 PM,1208 Coaches Crossing in Pflugerville (TX),Stray,Normal,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Blue,,03/30/2018 09:23:00 AM,03/30/2018 09:23:00 AM,03/14/2018,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Blue,0.0
A803989,*Gio,09/09/2019 01:18:00 PM,09/09/2019 01:18:00 PM,Cheviot Lane And Meldrum Road in Austin (TX),Stray,Normal,Cat,Intact Male,1 month,Domestic Shorthair,Brown Tabby/White,*Gio,10/28/2019 12:21:00 PM,10/28/2019 12:21:00 PM,07/24/2019,Cat,Neutered Male,3 months,Domestic Shorthair,Brown Tabby/White,0.0
A707366,Sparkle,07/11/2015 04:09:00 PM,07/11/2015 04:09:00 PM,3505 South Lamar in Austin (TX),Stray,Sick,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby,Sparkle,07/18/2015 05:09:00 PM,07/18/2015 05:09:00 PM,05/27/2015,Cat,Intact Female,1 month,Domestic Shorthair Mix,Brown Tabby,0.0
A704213,Lilith,06/02/2015 04:13:00 PM,06/02/2015 04:13:00 PM,Austin (TX),Owner Surrender,Sick,Other,Intact Female,1 year,Rat Mix,Brown/White,Lilith,06/04/2015 02:56:00 PM,06/04/2015 02:56:00 PM,06/02/2014,Other,Intact Female,1 year,Rat Mix,Brown/White,0.0
